Trial #,Total Time,# Comms,Total Cost
0,3.6,0,216.0
1,3.6,0,216.0
2,3.6,0,216.0
3,3.6,0,216.0
4,3.6,0,216.0
5,3.6,0,216.0
6,3.6,0,216.0
7,3.6,0,216.0
8,3.6,0,216.0
9,3.6,0,216.0
10,3.6,0,216.0
11,3.6,0,216.0
12,FAILED,0,1200.0
13,3.7,0,222.0
14,FAILED,0,1200.0
15,3.7,0,222.0
16,3.6,0,216.0
17,3.6,0,216.0
18,FAILED,0,1200.0
19,6.2,0,372.0
20,3.6,0,216.0
21,3.6,0,216.0
22,3.6,0,216.0
23,3.6,0,216.0
24,3.6,0,216.0
25,7.2,0,432.0
26,FAILED,0,1200.0
27,3.6,0,216.0
28,3.6,0,216.0
29,3.6,0,216.0
30,3.6,0,216.0
31,3.6,0,216.0
32,3.6,0,216.0
33,3.6,0,216.0
34,3.6,0,216.0
35,3.6,0,216.0
36,3.6,0,216.0
37,3.6,0,216.0
38,FAILED,0,1200.0
39,3.6,0,216.0
40,3.6,0,216.0
41,3.6,0,216.0
42,3.6,0,216.0
43,3.6,0,216.0
44,3.9,0,234.0
45,FAILED,0,1200.0
46,3.6,0,216.0
47,3.6,0,216.0
48,3.6,0,216.0
49,3.6,0,216.0
50,3.6,0,216.0
51,3.6,0,216.0
52,3.6,0,216.0
53,3.6,0,216.0
54,3.6,0,216.0
55,3.6,0,216.0
56,3.6,0,216.0
57,3.6,0,216.0
58,3.6,0,216.0
59,5.4,0,324.0
60,5.3,0,318.0
61,3.6,0,216.0
62,3.7,0,222.0
63,3.6,0,216.0
64,3.6,0,216.0
65,FAILED,0,1200.0
66,3.6,0,216.0
67,3.6,0,216.0
68,3.6,0,216.0
69,3.7,0,222.0
70,5.4,0,324.0
71,3.6,0,216.0
72,3.6,0,216.0
73,3.6,0,216.0
74,3.6,0,216.0
75,3.6,0,216.0
76,3.6,0,216.0
77,3.6,0,216.0
78,3.6,0,216.0
79,3.6,0,216.0
80,3.6,0,216.0
81,FAILED,0,1200.0
82,3.6,0,216.0
83,7.5,0,450.0
84,5.4,0,324.0
85,3.6,0,216.0
86,3.6,0,216.0
87,3.6,0,216.0
88,3.6,0,216.0
89,3.6,0,216.0
90,FAILED,0,1200.0
91,3.6,0,216.0
92,FAILED,0,1200.0
93,FAILED,0,1200.0
94,3.6,0,216.0
95,7.5,0,450.0
96,3.6,0,216.0
97,3.6,0,216.0
98,3.6,0,216.0
99,3.6,0,216.0
