Trial #,Total Time,# Comms,Total Cost
0,2.2,20,220.0
1,2.2,20,220.0
2,2.2,20,220.0
3,2.2,20,220.0
4,3.0,28,300.0
5,6.25,54,625.0
6,2.2,20,220.0
7,2.2,20,220.0
8,2.2,20,220.0
9,2.2,20,220.0
10,2.2,20,220.0
11,7.5,64,750.0
12,2.2,20,220.0
13,2.2,20,220.0
14,2.4,24,240.0
15,2.5,24,250.0
16,2.2,20,220.0
17,4.25,38,425.0
18,2.2,20,220.0
19,2.2,20,220.0
20,2.2,20,220.0
21,2.2,20,220.0
22,FAILED,164,2000.0
23,2.2,20,220.0
24,2.2,20,220.0
25,2.2,20,220.0
26,2.2,20,220.0
27,2.2,20,220.0
28,2.2,20,220.0
29,2.2,20,220.0
30,2.2,20,220.0
31,2.2,20,220.0
32,2.2,20,220.0
33,2.2,20,220.0
34,3.75,34,375.0
35,2.2,20,220.0
36,2.2,20,220.0
37,2.2,20,220.0
38,2.2,20,220.0
39,2.4,24,240.0
40,2.2,20,220.0
41,2.2,20,220.0
42,2.2,20,220.0
43,3.0,28,300.0
44,2.2,20,220.0
45,2.2,20,220.0
46,2.2,20,220.0
47,2.2,20,220.0
48,7.75,66,775.0
49,2.2,20,220.0
50,FAILED,164,2000.0
51,FAILED,164,2000.0
52,2.2,20,220.0
53,2.2,20,220.0
54,2.2,20,220.0
55,2.2,20,220.0
56,2.2,20,220.0
57,2.2,20,220.0
58,2.2,20,220.0
59,2.2,20,220.0
60,2.4,24,240.0
61,2.4,24,240.0
62,2.2,20,220.0
63,FAILED,164,2000.0
64,2.2,20,220.0
65,2.2,20,220.0
66,2.2,20,220.0
67,3.25,30,325.0
68,2.2,20,220.0
69,2.2,20,220.0
70,2.2,20,220.0
71,2.2,20,220.0
72,2.2,20,220.0
73,2.2,20,220.0
74,2.2,20,220.0
75,2.2,20,220.0
76,2.2,20,220.0
77,2.2,20,220.0
78,3.0,28,300.0
79,2.2,20,220.0
80,2.2,20,220.0
81,2.2,20,220.0
82,2.2,20,220.0
83,2.2,20,220.0
84,2.2,20,220.0
85,2.65,26,265.0
86,2.4,24,240.0
87,2.2,20,220.0
88,2.2,20,220.0
89,2.2,20,220.0
90,2.2,20,220.0
91,2.2,20,220.0
92,2.2,20,220.0
93,6.9,60,690.0
94,2.2,20,220.0
95,2.2,20,220.0
96,2.2,20,220.0
97,2.2,20,220.0
98,2.2,20,220.0
99,4.25,38,425.0
