Trial #,Total Time,# Comms,Total Cost
0,2.2,20,180.0
1,2.2,20,180.0
2,2.2,20,180.0
3,2.75,26,223.0
4,4.0,36,328.0
5,2.2,20,180.0
6,2.2,20,180.0
7,2.2,20,180.0
8,2.2,20,180.0
9,2.2,20,180.0
10,2.2,20,180.0
11,2.2,20,180.0
12,2.2,20,180.0
13,6.5,56,538.0
14,5.25,46,433.0
15,2.2,20,180.0
16,5.0,44,412.0
17,2.2,20,180.0
18,2.2,20,180.0
19,2.2,20,180.0
20,2.2,20,180.0
21,2.2,20,180.0
22,2.2,20,180.0
23,2.2,20,180.0
24,2.2,20,180.0
25,2.2,20,180.0
26,2.2,20,180.0
27,2.2,20,180.0
28,3.0,28,244.0
29,2.2,20,180.0
30,2.5,24,202.0
31,3.0,28,244.0
32,2.2,20,180.0
33,5.4,48,444.0
34,2.2,20,180.0
35,2.2,20,180.0
36,6.5,56,538.0
37,3.0,28,244.0
38,2.2,20,180.0
39,2.2,20,180.0
40,2.2,20,180.0
41,2.4,24,192.0
42,2.2,20,180.0
43,2.2,20,180.0
44,2.2,20,180.0
45,2.2,20,180.0
46,2.2,20,180.0
47,3.0,28,244.0
48,2.2,20,180.0
49,2.2,20,180.0
50,2.4,24,192.0
51,2.2,20,180.0
52,2.2,20,180.0
53,2.2,20,180.0
54,2.2,20,180.0
55,7.5,64,622.0
56,2.2,20,180.0
57,2.2,20,180.0
58,2.2,20,180.0
59,2.2,20,180.0
60,2.2,20,180.0
61,FAILED,164,1672.0
62,2.4,24,192.0
63,6.25,54,517.0
64,2.2,20,180.0
65,3.0,28,244.0
66,2.2,20,180.0
67,2.2,20,180.0
68,2.2,20,180.0
69,2.2,20,180.0
70,2.2,20,180.0
71,2.2,20,180.0
72,2.2,20,180.0
73,2.2,20,180.0
74,6.25,54,517.0
75,2.2,20,180.0
76,3.0,28,244.0
77,2.2,20,180.0
78,2.2,20,180.0
79,FAILED,164,1672.0
80,2.2,20,180.0
81,2.2,20,180.0
82,2.2,20,180.0
83,2.2,20,180.0
84,2.2,20,180.0
85,2.2,20,180.0
86,7.5,64,622.0
87,7.5,64,622.0
88,2.2,20,180.0
89,2.2,20,180.0
90,2.2,20,180.0
91,2.2,20,180.0
92,3.15,30,255.0
93,6.25,54,517.0
94,FAILED,164,1672.0
95,2.2,20,180.0
96,3.0,28,244.0
97,2.2,20,180.0
98,2.2,20,180.0
99,2.2,20,180.0
